Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
3,4414,81,1591.0,50,617,840,840,861,590,408,208,0,2110,2304,0,755,169,2114,1081,136,159,1,2,2,8,13,14,23,18,0,23,58,0,12,4,55,9,1,0,7.0,72.0,138.0,239.0,339.0,313.0,304.0,179.0,0.0,703.0,888.0,0.0,252.0,40.0,1038.0,209.0,47.0,5.0
4,21571,1036,4799.0,591,3405,3611,3879,3978,2974,1629,1504,0,10658,10908,5,8772,647,6553,3041,872,1686,0,7,23,61,116,198,267,364,0,414,622,0,255,52,540,182,7,0,29.0,193.0,367.0,584.0,981.0,1075.0,827.0,743.0,0.0,2106.0,2693.0,0.0,1482.0,156.0,2153.0,755.0,224.0,29.0
5,21350,1131,3230.0,1421,4387,3895,3967,3391,2303,1148,818,20,10981,10263,106,11294,428,4243,2313,649,2423,1,7,29,52,119,268,270,385,0,460,671,0,419,48,416,233,12,3,54.0,227.0,277.0,407.0,578.0,688.0,551.0,448.0,0.0,1503.0,1726.0,1.0,1290.0,87.0,1222.0,453.0,103.0,75.0
6,6305,423,934.0,568,1641,1161,974,851,551,309,250,0,3297,2961,47,2878,122,1413,1022,200,670,0,4,13,24,45,96,103,138,0,200,223,0,177,14,148,82,1,1,30.0,115.0,91.0,110.0,146.0,179.0,131.0,132.0,0.0,472.0,461.0,1.0,344.0,16.0,391.0,147.0,16.0,20.0
7,8276,132,732.0,905,2461,1729,1223,918,591,288,161,0,4418,3819,39,3132,211,2168,1796,269,700,0,2,2,11,19,34,28,36,0,61,71,0,53,1,48,30,0,0,26.0,95.0,82.0,104.0,113.0,111.0,122.0,79.0,0.0,369.0,363.0,0.0,207.0,24.0,352.0,116.0,14.0,19.0
8,10168,97,742.0,1269,2988,1950,1509,1194,735,357,164,2,5234,4893,41,4699,209,1831,2462,377,590,0,1,2,9,10,18,30,27,0,41,56,0,33,5,38,21,0,0,26.0,92.0,76.0,94.0,123.0,131.0,117.0,83.0,0.0,377.0,362.0,3.0,252.0,12.0,294.0,145.0,29.0,10.0
9,9368,86,670.0,1086,2753,1951,1333,1102,698,290,155,0,4820,4525,23,4201,245,1356,2592,285,689,0,0,4,4,11,19,21,27,0,35,51,0,43,0,26,17,0,0,15.0,71.0,74.0,95.0,108.0,138.0,96.0,73.0,0.0,355.0,315.0,0.0,261.0,11.0,207.0,158.0,22.0,11.0
10,27001,137,1481.0,3123,7298,5756,4203,3225,1996,955,441,4,13806,13140,55,10815,760,4165,7540,1067,2654,0,0,3,9,16,31,33,45,0,56,81,0,44,4,44,43,1,1,39.0,130.0,150.0,170.0,241.0,300.0,252.0,199.0,0.0,758.0,721.0,2.0,438.0,33.0,545.0,370.0,56.0,39.0
11,58893,490,3513.0,6955,14566,11902,9353,7593,4932,2322,1267,3,30517,28229,147,22465,1801,10111,14716,2477,7323,0,1,9,19,47,114,139,161,0,207,283,0,182,16,159,130,3,0,77.0,205.0,259.0,398.0,576.0,735.0,689.0,574.0,0.0,1709.0,1803.0,1.0,1105.0,122.0,1366.0,727.0,124.0,69.0
12,41546,763,2743.0,5012,9573,7974,6428,5729,3775,1903,1151,1,21581,19817,148,16023,1633,7697,9579,1737,4877,0,4,9,40,82,160,214,254,0,307,456,0,269,41,255,191,6,1,74.0,156.0,198.0,263.0,455.0,574.0,522.0,500.0,1.0,1345.0,1397.0,1.0,814.0,96.0,1120.0,562.0,95.0,56.0
